5.65444018e-01	1.43510935e+00	5.10257627e-01	
8.31269421e-01	1.62870444e+00	8.19013192e-01	
1.08513462e+00	1.38356034e+00	1.13831405e+00	
1.24542416e+00	1.78148487e+00	1.47484068e+00	
1.42359031e+00	1.87488089e+00	1.77805973e+00	
1.55610914e+00	1.82860442e+00	2.02869844e+00	
1.68002350e+00	1.77855379e+00	2.25921992e+00	
1.80795757e+00	1.99719949e+00	2.45538669e+00	
1.91892163e+00	2.05592147e+00	2.60284364e+00	
2.03141331e+00	1.96519105e+00	2.73103179e+00	
2.15079058e+00	2.03350842e+00	2.83069755e+00	
2.23954828e+00	1.98776656e+00	2.91035748e+00	

