0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	
-3.98289203e-03	-3.36325849e-04	2.56113711e-03	8.22687876e-03	0.00000000e+00	0.00000000e+00	2.74119647e-03	
-5.88473700e-03	-1.47062522e-04	2.01634648e-03	6.17387926e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	
-6.50472196e-03	-7.53905955e-06	1.60989869e-03	5.26743107e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	
-6.43464546e-03	7.60071254e-05	1.29844963e-03	4.50630852e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	
-6.01756776e-03	1.14577585e-04	1.05318422e-03	3.86819852e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	
-5.44780722e-03	1.22218090e-04	8.55215830e-04	3.32997440e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	
-4.83230792e-03	1.10830455e-04	6.92129373e-04	2.87250822e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	
-4.22751275e-03	8.90381800e-05	5.55640462e-04	2.48086694e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	
-3.66115912e-03	6.25470226e-05	4.40082751e-04	2.14353497e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	
-3.14499337e-03	3.48801249e-05	3.41454268e-04	1.85157784e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	
-2.68209951e-03	8.06859746e-06	2.56824000e-04	1.59796239e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	
-2.27107127e-03	-1.68180178e-05	1.83964578e-04	1.37705280e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	
-1.90835194e-03	-3.93016673e-05	1.21124582e-04	1.18425123e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	
-1.58952056e-03	-5.92521746e-05	6.68862193e-05	1.01574501e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	
-1.30997807e-03	-7.67333142e-05	2.00749457e-05	8.68328675e-04	0.00000000e+00	0.00000000e+00	0.00000000e+00	
-1.06529578e-03	-9.19087302e-05	-2.02993184e-05	7.39277181e-04	0.00000000e+00	0.00000000e+00	0.00000000e+00	
-8.51376699e-04	-1.04986208e-04	-5.50816494e-05	6.26253849e-04	0.00000000e+00	0.00000000e+00	0.00000000e+00	
-6.64515334e-04	-1.16185802e-04	-8.49996434e-05	5.27241912e-04	0.00000000e+00	0.00000000e+00	0.00000000e+00	
-5.01404375e-04	-1.25722443e-04	-1.10683424e-04	4.40492256e-04	0.00000000e+00	0.00000000e+00	0.00000000e+00	
-3.59115028e-04	-1.33797124e-04	-1.32680799e-04	3.64482489e-04	0.00000000e+00	0.00000000e+00	0.00000000e+00	

