5.50736378e-01	1.36829763e+00	6.31920504e-01	
7.41691000e-01	1.45749549e+00	8.77633708e-01	
9.83849234e-01	1.22016078e+00	1.15147720e+00	
1.13727710e+00	1.55453706e+00	1.45109309e+00	
1.30632891e+00	1.66585846e+00	1.72492200e+00	
1.43619135e+00	1.61358095e+00	1.95111784e+00	
1.56407607e+00	1.58527284e+00	2.16225099e+00	
1.68219611e+00	1.81808191e+00	2.34214640e+00	
1.78800549e+00	1.85863146e+00	2.47500753e+00	
1.90076175e+00	1.76547085e+00	2.58994184e+00	
2.02605688e+00	1.83125955e+00	2.67585673e+00	
2.12677855e+00	1.80439946e+00	2.74452203e+00	

